Libellé produit,Nature,tfidf_logreg_cleanlab_pred,tfidf_logreg_cleanlab_conf,ensemble_pred,ensemble_conf
Giantex ch teau gonflable pour enfants murs en maille 300x200x200cm capacité max 50kg avec zone de saut panier de basketball tob,Structure gonflable,Lit jeune,0.0830145588908758,Appareil musculation,0.0670376278981959
Lot de 2 rideaux occultant beige 140 x 260 cm,Rideau de douche,Rideau,0.4259786701434319,Rideau,0.5368987472932341
Smartphone 4g android 5 1 quad core dual sim 5 5 pouces 16 go noir,Mobile nu,Smartphone,0.5427738448505365,Smartphone,0.7695709283713851
Guirlande boules LED,Objets lumineux,Guirlande lumineuse,0.3228436214623957,Guirlande lumineuse,0.2233422669590933
Sommier à lattes 200x200 cm if 51,Cadre à lattes,Sommier,0.3500374765982513,Sommier,0.4296321132367081
Distingué armoires et meubles de rangement edition freetown casier à bouteilles pour 20 bouteilles pinède,Rangement a poser,Boite de rangement,0.194263794082723,Boite de rangement,0.1507037819093715
Lot de 6 petites cuillères,Couvert,Ustensiles,0.0744876792697948,Vaisselle,0.2886880167835988
Matelas a langer aristochats matelas a langer flocons marie 50 x 70 cm,Matelas à langer,Meuble à chaussures,0.2083543996404488,Matelas,0.4532559820483234
Lot de 2 chaises de bar scandinaves avec coussin TIKA noir ,Tabouret,Chaise,0.4953406088603493,Chaise,0.6127011926958986
Paris prix banc design giulia 100cm bleu,Banc de lit,Table,0.0384411329013314,Bureau,0.0424589364050954
Coussin de sol matelassé 40 x 40 cm rouge,Galette de chaise,Housse de coussin,0.360109799518832,Housse de coussin,0.3818531923263933
Tire bouchon électrique couleur aléatoire,Autre prep culinaire,Ustensiles,0.1208784405657341,Ustensiles,0.0552614451087016
Bosch huile adhérente biodégradable pour tron onneuses,Accessoire jardin,Pièces détachées,0.0288327486366524,Friteuse,0.0992108819101344
Tapis vache 94 x 100 cm atmosphera,Paillasson,Tapis de Salon et Ch,0.3342788000071394,Tapis de Salon et Ch,0.3791025196727713
Capital sports monstervest veste lestée 15 kg taille unique nylon noir,Haltère et poids,Accessoire fitness,0.0516171998833961,Drap housse,0.1587817774995853
Protège matelas 140x190 cm 100 microfibres imperméable et etirable forme drap housse certifié ko tex ,Meuble à chaussures,Protege matelas,0.6062596047399491,Protege matelas,0.4390283074334788
Paris prix étagère murale design riolo 94cm blanc,Bibliotheque,Etagère,0.3337793264109978,Etagère,0.3610412026022885
Rangement avec miroir elda,Elément Haut SDB,Miroir,0.259941157581952,Miroir,0.2457157086157217
Tapis design et moderne 80x150 cm rectangulaire unia rouge entrée adapté au chauffage par le sol,Carpette,Tapis de Salon et Ch,0.4792618302911447,Tapis de Salon et Ch,0.6154308801418498
Five serviteur de douche 2 plateaux en bambou,Rangement sdb,Accessoire sdb,0.3049279973724427,Accessoire sdb,0.2398943988697485
Parlux tsplit coupe fourches split ender pro 2 talavera,Autre soin personne,Lit adulte,0.0587728670917758,Canapé d'angle,0.0887963247716323
Lot de 2 sachets de fleurs de lavande,Accessoire dressing,Accessoire sdb,0.0471023282420222,Fleurs artificielles,0.0596118071428406
Ludi dalles uni,Parc,Ecran PC,0.0112600704997207,Jeu de société,0.0304331953613143
2 tabourets de bar blanc doré de 60 cm cabrillo,Chaise,Tabouret,0.5824281309634426,Tabouret,0.6358989623160212
Giantex chaise de bureau avec accoudoirs rembourrés relevable et coussin de massage support lombaire réglable pivotante noir cha,Chaise,Chaise de bureau,0.6709258128597719,Chaise de bureau,0.6815405310885198
Tente de jardin pergola aluminium 3x3m condate gris toile rétractable et coulissante tonnelle,Pergola,Tonnelle,0.4101493077162674,Tonnelle,0.4482429367608113
T te de lit en rotin naturel sola sommier 140 cm,Accessoire ch adulte,Lit adulte,0.2780243015414782,Tete de lit,0.6179007304806498
Etagère de séparation bibliothèque fsc damian 16 cases décor ch ne,Accessoire ch adulte,Bibliotheque,0.651308685200106,Bibliotheque,0.7305043466009196
Finlandek commode de chambre natti style contemporain noir mat l 110 cm,Mini commode,Commode,0.4247161173649597,Structure armoire,0.2172344076724002
Pair coulisse porte clavier à billes en acier,Accessoire bureau,Ustensiles,0.0874029089974325,Chevet,0.075802404913171
Fitbit bracelet connecté charge 4 nfc black black,Autre soin personne,Acc telephonie,0.0970920504893981,Acc telephonie,0.1666339921881615
Ty rusty le raton laveur medium,Peluche,Pièces détachées,0.0130623548398397,Fauteuil,0.0479445043575323
Décoration à poser jungle pop 35cm multicolore,Statue de jardin,Objet deco,0.1068193231178985,Papier peint,0.0897091961109671
Cache clés clefs en fonte cache bijoux tortue 15 cm x 8 cm x 6 cm,Statue de jardin,Objet deco,0.3379759286876402,Objet deco,0.1902134043254935
Dressing clapton 180cm coloris blanc avec 2 portes coulissantes miroirs,Structure armoire,Dressing complet,0.3875497675558326,Dressing complet,0.2290572560036159
 recharges poubelles twist click x3 compatibles avec bac tec,Poubelle à couches,Poubelle cuisine,0.0610557890414039,Canape droit,0.0519310052334575
