Libellé produit,Nature,sent_emb_logreg_pred,sent_emb_logreg_conf,ensemble_pred,ensemble_conf
Homemania tapis imprimé smurfs town pour les enfants décoration de maison antidérapants pour salon séjour chambre à co,Tapis enfant,Papier peint,0.1493238014890885,Toile et laminage,0.1158470822668668
Mini commode à roulettes 4 tiroirs,Mini commode,Desserte,0.1040391539614877,Mini commode,0.1752309975505583
Méridienne chesterfield en velours gris nimes,Canape droit,Chaise,0.2601168842078112,Canape droit,0.188714388902192
Canapé lit simple avec lit gigogne couleur ch ne 97 x 209 x 66 cm,Housse bz,Lit adulte,0.6614281036942304,Lit adulte,0.4561495568637007
Lampe sur pied dorée wadi,Lampadaire,Lampe,0.8283486445142816,Lampe,0.6318924970781896
Matelas 120x200 en mousse à 11 zones différenciées modèle sofia,Meuble à chaussures,Matelas,0.8547333965254788,Matelas,0.7616790892336579
Tour cd dvd pivotante plaquée ch ne 135 cm quimper,Bibliotheque,Lecteur dvd,0.1848764419923302,Bibliotheque,0.1085454476899731
Magnoli fauteuil rembourré en forme de fleur style glamour 87x47x95 tissu en velours pour salon bureau h tel gris,Fauteuil,Chaise de bureau,0.5420644537716628,Chaise de bureau,0.3495548592406569
Plateau ceramique pour micro ondes samsung,Pièces détachées,Acc telephonie,0.4734914052089145,Micro ondes,0.2429466161428757
Porte manteau vestiaire d entrée banc style néo rétro dim 80l x 40l x 170h cm 4 étagères 4 patères double crochet miroir mdf pa,Portant,Dressing complet,0.205902742960631,Porte manteau,0.1935868903779939
Congélateur coffre beko hsa40530n,Congelateur,Ecran PC,0.1639608135097416,Congelateur,0.3302279616332509
Etagère en bambou de salle de bain 4 niveaux à lattes dim 35l x 36l x 138h cm bois pin blanc,Element bas SDB,Rangement sdb,0.3959015583312247,Rangement sdb,0.2225033175958206
Cenocco cc 9079 appareil de chauffage portatif,Radiateur,Chauffage d'appoint,0.1908457409616013,Hotte,0.0777608872880129
Vidaxl armoire de salle de bain noir 30x30x95 cm aggloméré,Ensemble sdb,Element bas SDB,0.198306329610838,Colonne sdb,0.1657022754698783
Bo te cadeau stranger things avec mug et sous verre,Set vaisselle,Vaisselle,0.2270882306118398,Vaisselle,0.1092861404337459
2 plats culinaires carrés verre,Plat a cuire,Linge d'office,0.1102898563074427,Tabouret,0.0810551936767906
Pendule coloris marron vintage en métal d 70 x ep 4 cm pegane ,Objets lumineux,Tapis de Salon et Ch,0.1547420493216561,Horloge,0.0671278854048744
Télécommande filaire,Sommier,Telecommande,0.082666633981811,Telecommande,0.058290431753394
Ciel de lit moustiquaire universel blanc,Ciel de lit,Chevet,0.0357739283629012,Lampadaire,0.0329011213908893
Atmosphera boite à couture en bois ouverture en escalier,Boite de rangement,Paravent,0.1596152371938526,Boite de rangement,0.1130582306601213
Slc bactéricide le vrai professionnel aloe vera 5l,Petit outillage,Connectique,0.0925836262538054,Oreiller,0.0534849200392282
Passoires chic passoire à taille réglable pour évier,Ustensiles,Accessoire sdb,0.1352302944526003,Ustensiles,0.1013678008909102
Paire de vitrages brodés coeurs gris 2 x 60 x 160 cm,Voilage,Lit adulte,0.1343470721170845,Voilage,0.3833147736597618
Esschert design paillasson en fibre de coco chat,Objet deco,Sommier,0.0489568112370652,Paillasson,0.2400000720464484
Housse de rangement 210 L,Housse de rangement,Drap plat,0.0798457403000603,Housse de rangement,0.1516749550581623
Support pour pc portable ordinateur 3 ventilateur prise usb led bleu,Accessoire bureau,Access. PC Tablette,0.227860672885298,Access. PC Tablette,0.2084949817311998
Chausse pied et éponge lave chaussure chausser et laver chaussure couleur noir,Objet deco,Meuble à chaussures,0.2788825198915835,Meuble à chaussures,0.4278486150234988
Switch ubiquiti usw pro 24 unifi switch pro 24 gen2,Reseau sans fil,Connectique,0.1147636000086189,Multiprise,0.0636084847232629
Corbeille à papier skinny,Poubelle cuisine,Papier peint,0.3200252111029339,Papier peint,0.3002123736978608
Penderie pour enfant en bois dream 76 x h 126 cm marron,Penderie,Lit jeune,0.3179034992198062,Lit jeune,0.2658589851388445
Babysom coussin de maternité evolutif 3 en 1 grossesse allaitement éveil de bébé,Coussin allaitement,Lit bébé,0.508654635037934,Lit bébé,0.2098598178601323
Montre connectée sport,Montre et bracelet,Accessoire fitness,0.2195730577968257,Montre et bracelet,0.1174647203964043
Protège matelas imperméable drap housse hygiena 120x200 cm,Meuble à chaussures,Protege matelas,0.7313531851658464,Protege matelas,0.579429613939953
Fauteuil gonflable black lounge intex,Structure gonflable,Fauteuil,0.4518282383930926,Fauteuil,0.2775427088708279
Bo te à thé en bambou 10 compartiments,Boite de rangement,Vaisselle,0.2060676863309579,Vaisselle,0.1449998602619955
Sedea récepteur tnt terrestre hd double tuner boitier tv multimédia multilingue,Adaptateur tnt,Meuble tv,0.1823018700215541,Meuble tv,0.2578912005646361
Le gabès douche balnéo hammam 6 jets de massage,Cabine de douche,Autre soin personne,0.1882915714456774,Autre soin personne,0.1331897208888738
Etagère bibliothèque 4 casiers aspect ch ne sonoma,Etagère,Bibliotheque,0.7288037761097713,Bibliotheque,0.643077898758037
Meuble haut de salle de bain en bambou naturel l 58 5 x p 20 x h 51 5 cm pegane ,Elément Haut SDB,Rangement sdb,0.3289962916273112,Rangement sdb,0.2042066981212911
Lamaze camille la chenille,Mobile musical,Peluche,0.1250741732056858,Peluche,0.0608000547738216
Vidaxl canapé lit bleu tissu,Canapé d'angle,Canape droit,0.2422381480897772,Canapé d'angle,0.3075892288510647
Set de table tressé déco irisé 38cm blanc,Decoration de table,Table,0.421952941799141,Table,0.23398014694161
Chargeur secteur adaptateur usb iphone universel blanc,Chargeur,Acc telephonie,0.7789595021965144,Acc telephonie,0.5725495277216565
Cocotte ovale 33 cm chasseur noir interieur noir,Casserole,Meuble bas cuisine,0.0812362796646607,Casserole,0.1884958378873417
Atmosphera photophore bouddha h15 5,Bougeoir,Cadre photo,0.2471963632181929,Cadre photo,0.2020416567993587
Pouf détente moyen enfant,Poire,Mini mobilier enfant,0.1600047747436154,Pouf / repose pied,0.1776520743175492
Epilateur nez oreilles ne 3595 clatronic avec lumière gris noir,Rasoir homme,Plafonnier,0.2670636541433203,Autre soin personne,0.1163371461054896
Ensemble table extensible 160 200cm helga et 6 chaises nora blanc,Ens table chaises,Table,0.513399053669878,Table,0.4175604317949985
Lot de 2 chaises hautes de bar tissu blanc et gris clair roy,Tabouret,Chaise,0.8939916603891209,Chaise,0.7414265735045569
Organiseur de porte,Meuble à chaussures,Objet deco,0.167507607775419,Armoire,0.0815295727314524
Rangements à chaussures admirable range chaussures lot de 2,Accessoire dressing,Meuble à chaussures,0.8467129779497264,Meuble à chaussures,0.62935000146407
